loc ID,northing,easting,total count_WD,indv
K008,2223077.715,340073.7035,1,1
K021,2224404.641,338232.6906,1,1
K026,2224630.12,347674.8722,7,3
K039,2226442.666,346116.5681,1,1
K047,2227603.059,337211.15,2,1
K061,2228815.846,337408.282,4,2
K075,2230715.866,335817.3966,1,1
K076,2230759.343,337078.0631,1,1
K091,2232305.487,337472.9375,1,1
K113,2233575.893,344464.0859,2,2
K142,2236541.426,340606.9224,3,2
K181,2239054.803,343186.9224,7,4
K182,2239664.885,344411.3763,5,5
M190,2236344.858,340590.5877,38,5
M196,2235056.826,334314.1616,1,1
M206,2233445.328,334321.9604,9,3
M207,2233383.247,336008.1892,2,2
M216,2229971.173,331686.8938,1,1
M218,2230109.875,334534.0032,5,3
M220,2228739.353,331869.5249,6,2
M226,2226822.667,332275.0847,6,2
M231,2224817.141,334262.8906,4,2
M601,2241312.489,331054.1526,7,5
M603,2241080.792,335306.2377,1,1
M609,2242204.572,335491.0964,2,2
M616,2239110.985,333874.0059,12,5
M618,2239194.139,337755.1987,4,2
M622,2238217.117,334408.2449,4,2
M624,2238018.315,336887.9839,4,2
T001,2250711.578,320660.6244,2,3
T012,2250685.899,325197.4363,3,3
T021,2241543.219,326970.5921,3,4
T023,2240379.355,324366.7506,4,3
T024,2243088.19,325375.2263,1,1
T026,2245197.823,324445.0149,1,2
T028,2246583.865,322184.312,5,2
T030,2246821.613,321142.3171,5,2
T032,2247919.173,320042.4846,2,2
T035,2245348.555,322375.2517,3,3
T038,2247805.973,321451.2339,2,1
T042,2247699.294,324940.4674,1,1
T052,2250940.816,319807.8094,1,1
T055,2250525.987,324267.5114,11,4
T060,2252591.897,325242.9204,5,7
T066,2253733.964,326930.1661,1,2
T075,2255235.255,321841.5655,1,1
T076,2255038.012,323896.0859,1,1
T084,2257040.834,323571.1446,1,1
T085,2256707.084,325785.8519,2,2
T100,2259149.421,320424.1855,1,1
T110,2247839.034,331237.2297,1,1
T131,2242889.303,331461.4204,1,1
T137,2242262.681,324571.8553,3,2
T139,2241517.909,329291.7331,3,2
T152,2240927.965,330177.0826,1,1
